sepal_length,sepal_width,petal_length,petal_width,class,sepal_length_sq
5.1,3.5,1.4,0.2,setosa,26.009999999999998
4.9,3.0,1.4,0.2,setosa,24.010000000000005
4.7,3.2,1.3,0.2,setosa,22.090000000000003
4.6,3.1,1.5,0.2,setosa,21.159999999999997
5.0,3.6,1.4,0.2,setosa,25.0
5.4,3.9,1.7,0.4,setosa,29.160000000000004
4.6,3.4,1.4,0.3,setosa,21.159999999999997
5.0,3.4,1.5,0.2,setosa,25.0
4.4,2.9,1.4,0.2,setosa,19.360000000000003
4.9,3.1,1.5,0.1,setosa,24.010000000000005
5.4,3.7,1.5,0.2,setosa,29.160000000000004
4.8,3.4,1.6,0.2,setosa,23.04
4.8,3.0,1.4,0.1,setosa,23.04
4.3,3.0,1.1,0.1,setosa,18.49
5.8,4.0,1.2,0.2,setosa,33.64
5.7,4.4,1.5,0.4,setosa,32.49
5.4,3.9,1.3,0.4,setosa,29.160000000000004
5.1,3.5,1.4,0.3,setosa,26.009999999999998
5.7,3.8,1.7,0.3,setosa,32.49
5.1,3.8,1.5,0.3,setosa,26.009999999999998
5.4,3.4,1.7,0.2,setosa,29.160000000000004
5.1,3.7,1.5,0.4,setosa,26.009999999999998
4.6,3.6,1.0,0.2,setosa,21.159999999999997
5.1,3.3,1.7,0.5,setosa,26.009999999999998
4.8,3.4,1.9,0.2,setosa,23.04
5.0,3.0,1.6,0.2,setosa,25.0
5.0,3.4,1.6,0.4,setosa,25.0
5.2,3.5,1.5,0.2,setosa,27.040000000000003
5.2,3.4,1.4,0.2,setosa,27.040000000000003
4.7,3.2,1.6,0.2,setosa,22.090000000000003
4.8,3.1,1.6,0.2,setosa,23.04
5.4,3.4,1.5,0.4,setosa,29.160000000000004
5.2,4.1,1.5,0.1,setosa,27.040000000000003
5.5,4.2,1.4,0.2,setosa,30.25
4.9,3.1,1.5,0.1,setosa,24.010000000000005
5.0,3.2,1.2,0.2,setosa,25.0
5.5,3.5,1.3,0.2,setosa,30.25
4.9,3.1,1.5,0.1,setosa,24.010000000000005
4.4,3.0,1.3,0.2,setosa,19.360000000000003
5.1,3.4,1.5,0.2,setosa,26.009999999999998
5.0,3.5,1.3,0.3,setosa,25.0
4.5,2.3,1.3,0.3,setosa,20.25
4.4,3.2,1.3,0.2,setosa,19.360000000000003
5.0,3.5,1.6,0.6,setosa,25.0
5.1,3.8,1.9,0.4,setosa,26.009999999999998
4.8,3.0,1.4,0.3,setosa,23.04
5.1,3.8,1.6,0.2,setosa,26.009999999999998
4.6,3.2,1.4,0.2,setosa,21.159999999999997
5.3,3.7,1.5,0.2,setosa,28.09
5.0,3.3,1.4,0.2,setosa,25.0
7.0,3.2,4.7,1.4,versicolor,49.0
6.4,3.2,4.5,1.5,versicolor,40.96000000000001
6.9,3.1,4.9,1.5,versicolor,47.61000000000001
5.5,2.3,4.0,1.3,versicolor,30.25
6.5,2.8,4.6,1.5,versicolor,42.25
5.7,2.8,4.5,1.3,versicolor,32.49
6.3,3.3,4.7,1.6,versicolor,39.69
4.9,2.4,3.3,1.0,versicolor,24.010000000000005
6.6,2.9,4.6,1.3,versicolor,43.559999999999995
5.2,2.7,3.9,1.4,versicolor,27.040000000000003
5.0,2.0,3.5,1.0,versicolor,25.0
5.9,3.0,4.2,1.5,versicolor,34.81
6.0,2.2,4.0,1.0,versicolor,36.0
6.1,2.9,4.7,1.4,versicolor,37.209999999999994
5.6,2.9,3.6,1.3,versicolor,31.359999999999996
6.7,3.1,4.4,1.4,versicolor,44.89
5.6,3.0,4.5,1.5,versicolor,31.359999999999996
5.8,2.7,4.1,1.0,versicolor,33.64
6.2,2.2,4.5,1.5,versicolor,38.440000000000005
5.6,2.5,3.9,1.1,versicolor,31.359999999999996
5.9,3.2,4.8,1.8,versicolor,34.81
6.1,2.8,4.0,1.3,versicolor,37.209999999999994
6.3,2.5,4.9,1.5,versicolor,39.69
